outer_fold,loss_w_mask,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch,selection_criterion,method
6,2.0,310.6031362999929,0.9840160000000001,0.9385069817400644,0.9417033276931754,0.9965724498674278,0.9906639641299675,0.9341256679565137,0.9340369393139841,0.8994509020894246,0.9943820224719101,0.8805970149253731,"[80, 1, 24, 177]",0.8659581584952546,0.8633065484649506,0.8745063577039576,0.9943124795396815,0.8659581579956266,0.8931795104820555,0.8403469788455843,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256.0,by_prauc,scalar
6,1.0,313.370247200015,0.9840160000000001,0.9470103831006087,0.9433333333333334,0.9965243653042558,0.9910939131502979,0.9428782015846693,0.9481865284974094,0.9179134889678058,0.9891891891891892,0.9104477611940298,"[79, 2, 18, 183]",0.8724053425312401,0.8925364147964402,0.8796917581600894,0.9929253595639591,0.872405342031157,0.8744117732831721,0.8704080986361513,0.0008011070649188,1.1843349498732724e-06,0.2498862889398814,256.0,by_dice,scalar
7,1.0,312.3556950999191,0.9980020000000001,0.9651162790697674,0.9547153241937845,0.997808781745899,0.9939134939134939,0.9570707070707071,0.9551451187335093,0.9284396113898761,1.0,0.9141414141414141,"[78, 0, 17, 181]",0.8802081004129957,0.8872150507840243,0.8856842639790051,0.9949977859304447,0.880208099913678,0.9158667828253961,0.8472220561543289,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256.0,by_prauc,scalar
7,3.0,312.18682039994746,0.9740260000000001,0.9449142588677473,0.9388359788359788,0.994419785800622,0.9842657342657344,0.9467754467754468,0.9528795811518325,0.9234986141053281,0.9891304347826086,0.9191919191919192,"[76, 2, 16, 182]",0.8854827600130133,0.8888347895458492,0.890003975822738,0.9932070102007048,0.8854827595129751,0.8926094261981379,0.8784689922017164,0.0008642032042503,7.818893705164563e-07,0.1268857234988663,256.0,by_dice,scalar
8,1.0,308.14047660003416,0.12487600000000001,0.9482993197278912,0.9259236338882356,0.9952364669373326,0.9871147371147371,0.9518259518259518,0.9583333333333334,0.9315476190476191,0.989247311827957,0.9292929292929293,"[76, 2, 14, 184]",0.8383489762677685,0.827237302606756,0.8516227068702915,0.9943076095186756,0.8383489757696534,0.8948488405183569,0.7885600785518305,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256.0,by_prauc,scalar
8,3.0,307.99584290001076,0.7022980000000001,0.9153061224489796,0.9174152419588526,0.9925814840626428,0.9798627298627299,0.9302641802641802,0.9393139841688655,0.9031830036451264,0.9834254143646409,0.898989898989899,"[75, 3, 20, 178]",0.840526626626294,0.8414548864268293,0.85260489769253,0.9891292809334081,0.8405266261263051,0.8282248043426119,0.8531994026267941,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256.0,by_dice,scalar
9,2.0,310.2723398000235,0.256744,0.9550264550264551,0.9421097770154374,0.9968776747561292,0.992035742035742,0.9594017094017093,0.9664082687338501,0.9438101949729857,0.9894179894179894,0.9444444444444444,"[76, 2, 11, 187]",0.8698940099820279,0.8895962551386669,0.8766995063592675,0.9898949412015449,0.8698940094823902,0.8447727211187872,0.8965551708670723,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256.0,by_prauc,scalar
9,2.0,310.2723398000235,0.256744,0.9550264550264551,0.9421097770154374,0.9968776747561292,0.992035742035742,0.9594017094017093,0.9664082687338501,0.9438101949729857,0.9894179894179894,0.9444444444444444,"[76, 2, 11, 187]",0.8698940099820279,0.8895962551386669,0.8766995063592675,0.9898949412015449,0.8698940094823902,0.8447727211187872,0.8965551708670723,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256.0,by_dice,scalar
10,3.0,224.92285319999792,0.9600400000000001,0.9592756021327451,0.947107222149667,0.996757545820687,0.9913461538461539,0.9568589743589744,0.9722921914357683,0.9515549007493307,0.9796954314720813,0.965,"[74, 4, 7, 193]",0.8564983568321519,0.8840409004688263,0.8659780687199248,0.9919348020654253,0.8564983563321006,0.8643029923926978,0.8488334112231709,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128.0,by_prauc,scalar
10,3.0,224.92285319999792,0.9600400000000001,0.9592756021327451,0.947107222149667,0.996757545820687,0.9913461538461539,0.9568589743589744,0.9722921914357683,0.9515549007493307,0.9796954314720813,0.965,"[74, 4, 7, 193]",0.8564983568321519,0.8840409004688263,0.8659780687199248,0.9919348020654253,0.8564983563321006,0.8643029923926978,0.8488334112231709,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128.0,by_dice,scalar
