outer_fold,loss_w_mask,train_time_sec,thr_cls_from_val_sel,val_sel_best_bacc,val_sel_best_f1m,test_pr_auc,test_roc_auc,test_bacc,test_f1_1,test_f1_macro,test_prec1,test_rec1,test_cm_TN_FP_FN_TP,test_dice_global,test_dice_pos_mean,test_miou,test_pix_specificity,test_pix_f1,test_pix_prec,test_pix_rec,hp_lr,hp_weight_decay,hp_dropout_rate,hp_dec_ch
8,1.0,308.14047660003416,0.12487600000000001,0.9482993197278912,0.9259236338882356,0.9952364669373326,0.9871147371147371,0.9518259518259518,0.9583333333333334,0.9315476190476191,0.989247311827957,0.9292929292929293,"[76, 2, 14, 184]",0.8383489762677685,0.827237302606756,0.8516227068702915,0.9943076095186756,0.8383489757696534,0.8948488405183569,0.7885600785518305,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256
8,1.5,308.3012997000478,0.9960040000000001,0.9251700680272108,0.9047823596792669,0.993965208048099,0.9836829836829837,0.9545454545454546,0.9523809523809523,0.9244663382594417,1.0,0.9090909090909091,"[78, 0, 18, 180]",0.832793081947161,0.822038881706469,0.8466058096435594,0.9899102227343508,0.8327930814470585,0.8349188275452124,0.830678133370928,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256
8,2.0,308.4902359000407,0.9900100000000001,0.9333333333333333,0.9164949449417219,0.9949617466852352,0.9862729862729863,0.9292929292929293,0.9239130434782609,0.8858695652173914,1.0,0.8585858585858586,"[78, 0, 28, 170]",0.8359099362530995,0.8511553773976336,0.8490856677943476,0.990092869148292,0.8359099357529988,0.8379451496630611,0.8338845852011633,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256
8,2.5,307.9293883999344,0.9960040000000001,0.9343537414965986,0.9053305915849414,0.9951464570762079,0.9865967365967365,0.9506604506604507,0.9526315789473684,0.9239902080783353,0.9945054945054945,0.9141414141414141,"[77, 1, 17, 181]",0.838979234582616,0.8434616531988587,0.8515570006959002,0.9903917102594781,0.8389792340825221,0.8423414359304561,0.8356437669445996,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256
8,3.0,307.99584290001076,0.7022980000000001,0.9153061224489796,0.9174152419588526,0.9925814840626428,0.9798627298627299,0.9302641802641802,0.9393139841688655,0.9031830036451264,0.9834254143646409,0.898989898989899,"[75, 3, 20, 178]",0.840526626626294,0.8414548864268293,0.85260489769253,0.9891292809334081,0.8405266261263051,0.8282248043426119,0.8531994026267941,0.0003450768131156,1.4347494710900565e-07,0.1981171912189044,256
9,0.5,311.02354660001583,0.9960040000000001,0.9341269841269841,0.906387298628678,0.9904408878336937,0.9737762237762237,0.9292929292929293,0.9239130434782609,0.8858695652173914,1.0,0.8585858585858586,"[78, 0, 28, 170]",0.7909679886637654,0.8204844600022442,0.8148415364122483,0.989378318892152,0.7909679881640972,0.8159129307505115,0.7675030829915066,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256
9,1.0,310.8423577999929,0.48052000000000006,0.9335978835978835,0.9215371739433673,0.9936075728698373,0.9828412328412328,0.9329836829836831,0.9329758713136729,0.8966555334221995,0.9942857142857143,0.8787878787878788,"[77, 1, 24, 174]",0.8143837611893684,0.8317842435355138,0.8321947688631627,0.988668720025119,0.8143837606892514,0.8149911094927582,0.8137773174288028,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256
9,1.5,310.1372527999338,0.7822180000000001,0.9439153439153439,0.9266088613949848,0.9947485341477037,0.9860787360787361,0.9506604506604507,0.9526315789473684,0.9239902080783353,0.9945054945054945,0.9141414141414141,"[77, 1, 17, 181]",0.83946561910562,0.8579146837947345,0.8519018302821714,0.9900193260121286,0.8394656186055206,0.8378945586445021,0.841042582141263,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256
9,2.0,310.2723398000235,0.256744,0.9550264550264551,0.9421097770154374,0.9968776747561292,0.992035742035742,0.9594017094017093,0.9664082687338501,0.9438101949729857,0.9894179894179894,0.9444444444444444,"[76, 2, 11, 187]",0.8698940099820279,0.8895962551386669,0.8766995063592675,0.9898949412015449,0.8698940094823902,0.8447727211187872,0.8965551708670723,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256
9,2.5,310.9303682000609,1.0,0.8933862433862434,0.8382151806941371,0.9768175411705651,0.9486855736855737,0.8496503496503497,0.8294117647058824,0.7779134295227526,0.9929577464788732,0.7121212121212122,"[77, 1, 57, 141]",0.8417741960848838,0.8560722668965658,0.8534447027770113,0.9879588912416155,0.8417741955852936,0.8158061025549032,0.8694498343868178,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256
9,3.0,310.87778840004466,0.9980020000000001,0.9230158730158731,0.9135147601476015,0.9908097534355564,0.9772727272727273,0.9403651903651904,0.9503916449086162,0.9189828047028288,0.9837837837837838,0.9191919191919192,"[75, 3, 16, 182]",0.8627085820982652,0.8814579453131165,0.8706980458108657,0.9897309341191979,0.8627085815985135,0.8410067409544117,0.8855601049029237,0.0005243813239319,9.8664621153493e-07,0.32224818502746,256
10,0.5,225.0045753000304,0.9660340000000001,0.977891156462585,0.961036077705828,0.9939746365812384,0.9830128205128206,0.9485897435897437,0.9503916449086162,0.9202825276566202,0.994535519125683,0.91,"[77, 1, 18, 182]",0.7829281072188264,0.8258468854427338,0.808337785405689,0.9850211344512385,0.78292810671899,0.7642810737859956,0.8025078015467404,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128
10,1.0,225.11974180000834,0.20679400000000003,0.9524728810443097,0.9317427401094754,0.9931715041126691,0.981025641025641,0.935448717948718,0.9540816326530612,0.9221627675460429,0.9739583333333334,0.935,"[73, 5, 13, 187]",0.8051847756562441,0.8371964585781098,0.8251324782219318,0.98723699020112,0.8051847751562105,0.7946331139438711,0.8160204322634776,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128
10,1.5,225.97001230006572,0.9480520000000001,0.9326622540908256,0.9173725451674084,0.9891075434551354,0.9711538461538461,0.9043589743589744,0.9148936170212766,0.8685579196217494,0.9772727272727273,0.86,"[74, 4, 28, 172]",0.7674523664332585,0.8106781268119811,0.7973121138330646,0.9852205576672941,0.7674523659331569,0.7603234763224594,0.7747162046040422,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128
10,2.0,224.92693760001566,0.9620380000000001,0.9553686339400624,0.945352323838081,0.9947157581192053,0.9865384615384615,0.9340384615384616,0.9569620253164557,0.9256859816023273,0.9692307692307692,0.945,"[72, 6, 11, 189]",0.8521799847132155,0.8814846861362458,0.862547814128236,0.9925286620504081,0.8521799842133547,0.8710710926091856,0.8340908748285156,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128
10,2.5,225.85511799994856,0.9020980000000001,0.9445670159955875,0.9379481522338665,0.9948366037548793,0.9855128205128205,0.9446794871794872,0.9506493506493506,0.9197691197691198,0.9891891891891892,0.915,"[76, 2, 17, 183]",0.8214014280255346,0.8515665030479431,0.8377625159575071,0.9891288877643402,0.8214014275254218,0.8206818971322788,0.8221222217197061,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128
10,3.0,224.92285319999792,0.9600400000000001,0.9592756021327451,0.947107222149667,0.996757545820687,0.9913461538461539,0.9568589743589744,0.9722921914357683,0.9515549007493307,0.9796954314720813,0.965,"[74, 4, 7, 193]",0.8564983568321519,0.8840409004688263,0.8659780687199248,0.9919348020654253,0.8564983563321006,0.8643029923926978,0.8488334112231709,0.0003833398520373,6.944267433142807e-07,0.1172379333631342,128
