checkpoint,dataset,kind,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
model_aug_seed52.pt,sidtd,templates,2222,1000,1222,0.5626271625133943,0.508531914893617,0.49435515548281506,0.6822660098522167,0.4096948778358074,0.5468904244817374,0.9067103109656302,"[82, 918, 114, 1108]",0.0032149683397067795,0.005037469339919766,0.4547521240196948,0.9107421906741864,0.0032149682712236203,0.0016665636681068344,0.045345251592478666
model_aug_seed53.pt,sidtd,templates,2222,1000,1222,0.5573244255138723,0.5037446808510638,0.5049255319148936,0.6106422018348624,0.49671144414023516,0.5535595475715236,0.6808510638297872,"[329, 671, 390, 832]",0.0015464991369299158,0.0023803715630510178,0.4569878010995487,0.9161409042308204,0.0015464990643110868,0.0008035243560412774,0.02052284789431303
model_aug_seed54.pt,sidtd,templates,2222,1000,1222,0.5569321880916951,0.5021943535188216,0.5018477905073649,0.6609891909597118,0.45846008793132964,0.5510649918077554,0.82569558101473,"[178, 822, 213, 1009]",0.004455095239103028,0.008394694021462064,0.46716619679524773,0.9350206492782359,0.004455095147529923,0.0023399291444696235,0.046380431270094134
model_aug_seed55.pt,sidtd,templates,2222,1000,1222,0.5623639851035493,0.5051955810147299,0.5109165302782324,0.5703971119133574,0.5107239275609842,0.5594020456333596,0.5818330605564648,"[440, 560, 511, 711]",0.00564143432769898,0.00936301094108836,0.46402210095062657,0.928058835023527,0.0056414342442605014,0.0029491748434026443,0.06475897840363226
model_aug_seed56.pt,sidtd,templates,2222,1000,1222,0.5634344603632114,0.5132037643207856,0.506531914893617,0.6709677419354839,0.45601958525345626,0.5537806176783813,0.851063829787234,"[162, 838, 182, 1040]",0.002319916075927742,0.0033697219806585626,0.4597901144612559,0.9213494101349066,0.0023199159989133215,0.0012083614406310447,0.02895764526747611
model_aug_seed57.pt,sidtd,templates,2222,1000,1222,0.5599441370169824,0.5144648117839608,0.5046988543371522,0.6131386861313869,0.4955364792159282,0.5533596837944664,0.6873977086743044,"[322, 678, 382, 840]",0.0016541437565206613,0.0032069387240220956,0.47345950735442777,0.9491576753498675,0.0016541436424002917,0.0008804786097103049,0.013635342896421748
model_aug_seed58.pt,sidtd,templates,2222,1000,1222,0.5711079725437402,0.5134271685761047,0.4989525368248773,0.7035619664409773,0.3708831799731152,0.5494252873563218,0.9779050736497545,"[20, 980, 27, 1195]",0.004292494527702423,0.006941698129228263,0.4488872056505264,0.8983644031629057,0.004292494467068593,0.0022154831688918526,0.06867787289746226
model_aug_seed59.pt,sidtd,templates,2222,1000,1222,0.5651242704495473,0.5178919803600655,0.5081137479541735,0.6386086956521739,0.4882017346967052,0.5553539019963702,0.7512274959083469,"[265, 735, 304, 918]",0.008440530212591314,0.014767833238360523,0.4779321291433965,0.9545565688825176,0.00844053008713068,0.004524045746677487,0.06285019471236776
model_aug_seed60.pt,sidtd,templates,2222,1000,1222,0.5789433765131851,0.5136914893617022,0.5133690671031097,0.5608856088560885,0.5133605101637051,0.562037797863599,0.5597381342062193,"[467, 533, 538, 684]",0.004263059241803124,0.007518993964552116,0.4542187299143746,0.9090970929032055,0.004263059174507124,0.0022084097563153473,0.061228960931552
model_aug_seed61.pt,sidtd,templates,2222,1000,1222,0.5579770962569139,0.5106951718494271,0.49672585924713586,0.7043325526932084,0.3609211401598338,0.5483135824977211,0.9844517184942717,"[9, 991, 19, 1203]",0.0052774683777873895,0.007605126418067377,0.46157227615134455,0.9233288223544754,0.0052774682990598875,0.002751513021990684,0.06437831709360964
model_aug_seed62.pt,sidtd,templates,2222,1000,1222,0.5591618146759296,0.5026252045826514,0.49680851063829784,0.6795270690728065,0.4210643475445333,0.5481927710843374,0.8936170212765957,"[100, 900, 130, 1092]",0.002794486288133675,0.00476980823262766,0.46126283269273566,0.9240511200996333,0.0027944862086245405,0.0014576071178552254,0.033739189492652324
model_aug_seed63.pt,sidtd,templates,2222,1000,1222,0.5546188425786118,0.49865261865793775,0.4990818330605565,0.6823821339950372,0.4215189358499776,0.5494505494505495,0.900163666121113,"[98, 902, 122, 1100]",0.0034870425721895927,0.005673878400847622,0.4593815703934476,0.9198962837814307,0.003487042496504817,0.001814912763081052,0.04432376476774171
model_aug_seed64.pt,sidtd,templates,2222,1000,1222,0.5851290302213488,0.5124279869067103,0.4979083469721768,0.7067055393586006,0.3572975428548427,0.5489130434782609,0.9918166939443536,"[4, 996, 10, 1212]",0.008361272124683015,0.017895264343744215,0.4588459973533597,0.9161613765026445,0.008361272052286522,0.004343779021490196,0.11131193961999565
model_aug_seed65.pt,sidtd,templates,2222,1000,1222,0.5484275467165212,0.5035294599018003,0.4993003273322423,0.652708541043536,0.4622427722639283,0.5495243424734192,0.8036006546644845,"[195, 805, 240, 982]",0.003271396109219507,0.005769575083478069,0.45051964873336775,0.9022073590429193,0.003271396046326318,0.0016905665230531797,0.05039791430464941
model_aug_seed66.pt,sidtd,templates,2222,1000,1222,0.5747392910222582,0.5092332242225859,0.4941153846153846,0.6388039415562351,0.46530470229044263,0.5461940732132481,0.7692307692307693,"[219, 781, 282, 940]",0.0044622869905572024,0.009539067983876891,0.4518150604110766,0.9041561123481563,0.004462286926506877,0.002307460357591252,0.06745920899127474
model_aug_seed67.pt,sidtd,templates,2222,1000,1222,0.5823211255934027,0.5189161211129296,0.49776268412438623,0.6787386824851701,0.42478432915555847,0.5487127713276123,0.8895253682487725,"[106, 894, 135, 1087]",0.005766944611265001,0.008565649811009723,0.4662349549247935,0.9324422048868923,0.00576694452291848,0.003023297691903575,0.062346297726438536
model_aug_seed68.pt,sidtd,templates,2222,1000,1222,0.560617647818641,0.5086039279869067,0.4996342062193126,0.7034198113207547,0.3735730235310998,0.5497695852534562,0.9762684124386252,"[23, 977, 29, 1193]",0.003560657214191543,0.0068725440462842876,0.45974112919064897,0.9205788968150527,0.003560657137910569,0.001853850908179981,0.04489064887691208
model_aug_seed69.pt,sidtd,templates,2222,1000,1222,0.5609943899285191,0.5095441898527004,0.5117806873977087,0.5734824281150159,0.5114834820987451,0.5600624024960998,0.5875613747954174,"[436, 564, 504, 718]",0.008085098164769329,0.015867827727096665,0.4706965039515723,0.9401739655370046,0.00808509806629656,0.004263639617834585,0.07795888857851735
model_aug_seed70.pt,sidtd,templates,2222,1000,1222,0.5692284184373329,0.5109120294599018,0.5021685761047463,0.6700898587933247,0.44799673662557804,0.5512143611404435,0.8543371522094927,"[150, 850, 178, 1044]",0.0039088987995848454,0.007196458055486857,0.47120542427459094,0.9434326202821559,0.003908898695854446,0.002067746848094982,0.035669881748522446
model_aug_seed71.pt,sidtd,templates,2222,1000,1222,0.5522762663899491,0.505041325695581,0.5019001636661211,0.6840471756672873,0.42549330960123777,0.551,0.9018003273322422,"[102, 898, 120, 1102]",0.0024594618341937805,0.004300707323927238,0.4593685922748171,0.9204272130287373,0.0024594617580063097,0.0012804474755634101,0.031047174616736964
