n_shots,base_seed,sample_seed,pr_auc,roc_auc,bacc,dice_global,dice_pos_mean,miou,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,pix_specificity,pix_f1,pix_prec,pix_rec
100,43,0,0.5863963980311703,0.5031632653061224,0.5154591836734694,0.12665066027229657,0.06370967504929523,0.5317173932171521,0.4674698795180723,0.5011033608116677,0.5705882352941176,0.39591836734693875,"[127, 73, 148, 97]",0.9985244345163014,0.12665065979717993,0.17050505050504622,0.10074003342086266
200,43,0,0.5697622492780605,0.5108775510204082,0.49438775510204086,0.08657697316527278,0.030482668908787126,0.5209737841362094,0.6917293233082706,0.39030910609857977,0.5476190476190477,0.9387755102040817,"[10, 190, 15, 230]",0.9995449501232992,0.0865769728731976,0.25629542618014417,0.05208582000477363
400,43,0,0.5535357992229991,0.5038673469387756,0.4948469387755102,0.02387058352852109,0.013543229899844345,0.5042411967953889,0.6907993966817496,0.3938578481206105,0.5478468899521531,0.9346938775510204,"[11, 189, 16, 229]",0.99935893220233,0.023870583214620565,0.06438077755195278,0.014651468130818591
1777,43,0,0.8981715008298261,0.8520408163265306,0.7678571428571428,0.7527909237094279,0.4796473094395229,0.8011796272689303,0.7584650112866818,0.7595457047484864,0.8484848484848485,0.6857142857142857,"[170, 30, 77, 168]",0.9999268685884236,0.7527909232308507,0.9621966794380364,0.6182412270231467
10,43,1,0.5461060841554249,0.4885816326530612,0.5003571428571428,0.02539176053561483,0.01942780651420377,0.5048153404421338,0.3763440860215054,0.46423381907252875,0.5511811023622047,0.2857142857142857,"[143, 57, 175, 70]",0.999730563755138,0.025391760352445596,0.135361107106799,0.014009906899021035
25,43,1,0.565839069520666,0.5058571428571429,0.5182142857142857,0.0035519418001741525,0.008493983715164417,0.46751523877729284,0.6506024096385542,0.4968222404179826,0.5625,0.7714285714285715,"[53, 147, 56, 189]",0.935949820711247,0.0035519417138918648,0.0018592981709434247,0.03962759608498389
50,43,1,0.555833316250651,0.5096224489795917,0.5075510204081632,0.009796679367866771,0.023546317706302722,0.481144648498476,0.6401384083044983,0.4867358708189158,0.5555555555555556,0.7551020408163265,"[52, 148, 60, 185]",0.9600468005097277,0.009796679237094673,0.005265524237293058,0.0702434948675091
100,43,1,0.5752387559506222,0.4929591836734694,0.48295918367346935,0.06865394477378216,0.03386336981642003,0.5162685057328946,0.4532710280373832,0.47338876077193837,0.5300546448087432,0.39591836734693875,"[114, 86, 148, 97]",0.9998805999435073,0.06865394462867692,0.4823758519960112,0.03695691095726848
200,43,1,0.5931863964111701,0.5202551020408164,0.5122448979591837,0.11489717439541998,0.061457938077498456,0.5286964633302843,0.6655683690280065,0.47412694069774886,0.5580110497237569,0.8244897959183674,"[40, 160, 43, 202]",0.9992122201690324,0.11489717400764562,0.22713851306684468,0.07689782764382792
400,43,1,0.603616537144636,0.5075918367346939,0.4844387755102041,0.33697575439556965,0.12469779715246083,0.6000714834638945,0.6071428571428571,0.47023809523809523,0.5396825396825397,0.6938775510204082,"[55, 145, 75, 170]",0.9998864845964045,0.3369757540691991,0.8479542719614411,0.2102679637144872
