checkpoint,dataset,kind,n_samples,n_bonafide,n_attack,pr_auc,roc_auc,bacc,f1_1,f1_macro,prec1,rec1,cm_TN_FP_FN_TP,dice_global,dice_pos_mean,miou,pix_specificity,pix_f1,pix_prec,pix_rec
model_multitask_seed48.pt,sidtd,templates,2222,1000,1222,0.5832375024544628,0.5191571194762684,0.5008977086743045,0.6757269279393173,0.43708221396965863,0.5504634397528322,0.8747954173486089,"[127, 873, 153, 1069]",0.003801364960774001,0.008542943546760757,0.4678971428909808,0.9368405307571902,0.0038013648667933344,0.0019993700868014695,0.03850704086495003
model_multitask_seed49.pt,sidtd,templates,2222,1000,1222,0.5732367254614003,0.5125008183306056,0.4983968903436989,0.6719593521752938,0.43713797724594805,0.5490399584846912,0.8657937806873978,"[131, 869, 164, 1058]",0.00258941282914426,0.004631906402203782,0.46610323459776365,0.9338852525834702,0.002589412738914707,0.0013589667611790578,0.027380228615871586
model_multitask_seed50.pt,sidtd,templates,2222,1000,1222,0.5519214135531803,0.5031910801963992,0.49931423895253685,0.6981188414452075,0.3874155851061654,0.5496003761165962,0.9566284779050737,"[42, 958, 53, 1169]",0.007102673542893531,0.014812400386212989,0.46269888616696214,0.9246043753717292,0.007102673463015274,0.003705540235707651,0.08533933628003504
model_multitask_seed51.pt,sidtd,templates,2222,1000,1222,0.5428933542456335,0.49641243862520457,0.4972225859247136,0.6950524737631184,0.38900504662006236,0.5485092285849503,0.9484451718494271,"[46, 954, 63, 1159]",0.003945245614164158,0.006807344819269578,0.4713698771730824,0.9437438168114841,0.003945245509924952,0.002087604025030816,0.03581502598903467
model_multitask_seed52.pt,sidtd,templates,2222,1000,1222,0.545378512527612,0.49731546644844515,0.4928036006546645,0.6615087040618955,0.4395471985287123,0.5457446808510639,0.839607201309329,"[146, 854, 196, 1026]",0.006247902594353509,0.01757501856045183,0.4768485260274513,0.9535386245358171,0.006247902471152979,0.0033441517014076356,0.04744299665346663
model_multitask_seed53.pt,sidtd,templates,2222,1000,1222,0.5520959830425918,0.4999750409165303,0.4949844517184943,0.6590761223162004,0.44705630933328266,0.546976241900648,0.8289689034369886,"[161, 839, 209, 1013]",0.004999175634226431,0.00951166378952127,0.4689053441786882,0.9382257161646125,0.004999175538405438,0.0026321979543040435,0.04961468311999855
model_multitask_seed54.pt,sidtd,templates,2222,1000,1222,0.5591823266478035,0.4973396072013093,0.5014378068739771,0.6576517150395779,0.46126211814301843,0.550828729281768,0.8158756137479541,"[187, 813, 225, 997]",0.010564701268347526,0.023232085257459397,0.48599882504883907,0.9696912740014441,0.010564701092426677,0.005851690275125371,0.054292161663298075
model_multitask_seed55.pt,sidtd,templates,2222,1000,1222,0.5601638370606448,0.5059611292962357,0.5001653027823241,0.6578947368421053,0.4585769980506823,0.5500550055005501,0.8183306055646481,"[182, 818, 222, 1000]",0.005680871676463013,0.0124043120605285,0.4725365604402714,0.9451647004616871,0.005680871569914891,0.003010133636648172,0.0503842214517709
model_multitask_seed56.pt,sidtd,templates,2222,1000,1222,0.550975353709741,0.5117520458265139,0.502259410801964,0.6698779704560052,0.44847281981446874,0.5512684989429175,0.853518821603928,"[151, 849, 179, 1043]",0.005096298149221265,0.01179584311821833,0.47101886341357146,0.9424240886810942,0.005096298047169377,0.0026931843015318944,0.04731702240698432
model_multitask_seed57.pt,sidtd,templates,2222,1000,1222,0.5536282868133298,0.5009799509001637,0.5031702127659574,0.6759670259987318,0.44185948199161396,0.55175983436853,0.8723404255319149,"[134, 866, 156, 1066]",0.006127542701596348,0.010591014863282127,0.47211222824241883,0.9440725789999773,0.006127542596920452,0.003243195736212809,0.05537937418185189
model_multitask_seed58.pt,sidtd,templates,2222,1000,1222,0.5507662339390156,0.49740098199672667,0.4978968903436989,0.6717460317460318,0.4363366943892446,0.5487551867219918,0.8657937806873978,"[130, 870, 164, 1058]",0.0017067692231598026,0.002409583025835698,0.4642628984252745,0.9306624220643108,0.0017067691367082518,0.0008937908570887676,0.018876966978315948
