trial_number,outer_fold,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
21,6,False,295.79051590000745,0.00016564282147928195,1.3971788195188692e-07,0.39167405707244474,0.2,96,1.7237080874371502,0.831470631775216,0.6240603332868268,0.4119863844384382
22,6,False,413.65108830004465,0.00030134166274535165,2.0233947138772564e-07,0.31847233307859646,0.2,256,1.0804030787116,0.9246541653411237,0.5825773573601988,0.424168194692669
23,6,False,295.8258828999824,0.00013220808820592526,1.439065418789668e-06,0.24909296515425464,0.2,96,0.6983030304547742,0.8857809019491392,0.5864084541176986,0.4290733843818141
24,6,False,413.580682699976,0.0008210510499792598,6.139013225616578e-05,0.12635177770657818,0.2,256,2.127729894095092,0.9006976074146691,0.5796882139444058,0.43188304281415674
25,6,False,384.8038021000102,6.905651731980808e-05,4.060184699078264e-06,0.18813378586721696,0.2,192,1.4446314999049727,0.7944739924900543,0.5003162576306763,0.5403006405245054
26,6,False,384.56277439999394,0.0004983997638134332,1.0398681671830303e-06,0.30395174334460784,0.2,192,1.4072488411070405,0.9251560219826107,0.6217593787382335,0.3855743619821662
27,6,False,304.15315389999887,6.781478710143564e-05,9.558687851658893e-07,0.3779476192036224,0.2,128,0.530164820454597,0.8089508099819762,0.5528366247608094,0.4862662615911658
28,6,False,295.7570300999796,0.0006757651459081755,1.4197334791281196e-06,0.33676196434382466,0.2,96,0.5921425520140257,0.9022791954587401,0.553907330424941,0.45667058750131245
29,6,False,413.609853699978,6.246941363920563e-05,5.49040721465053e-05,0.3541505224542737,0.2,256,1.128259416168632,0.7902779430553858,0.5374491389789243,0.5078746303965364
30,6,False,413.655264800007,0.00018789115939556118,1.1061430232892564e-06,0.15913667369865664,0.2,256,0.5108294028374791,0.9453049438960146,0.6306316067197745,0.37339598165571286
31,6,False,303.7634421000257,0.00048609259479125594,1.173062406538164e-06,0.37051154184287305,0.2,128,2.365089304825513,0.8568373887137994,0.6762058941173283,0.3540312927901184
32,6,False,296.0782990999869,8.673146766463198e-05,1.0166853334014116e-05,0.2873443517717221,0.2,96,0.6527831598335183,0.8444046700538929,0.5823255156252909,0.4457150228550941
33,6,False,384.63329279999016,0.00021596296999255217,3.2495012957677914e-06,0.1123823501974067,0.2,192,0.5821826221131126,0.9472954012369751,0.6230775614612947,0.38058941052627243
34,6,False,413.51064470002893,0.00030328574777130596,2.5592121284745413e-06,0.11909911242309526,0.2,256,1.7628899897633787,0.8968415408715815,0.6565926974817711,0.35856692975314386
35,6,False,384.88430210005026,9.11168257157235e-05,1.4252847488650602e-06,0.2761052261652376,0.2,192,2.831724535047366,0.7948918400410254,0.5799263816600131,0.46747321004203574
36,6,False,413.2934728000546,0.00018135978624382614,1.2643930402293885e-07,0.1846952645312026,0.2,256,1.799900251922999,0.8591732396536834,0.6441705958713542,0.3826836046555771
37,6,False,385.00022290000925,0.00017792181478309507,5.109173397702263e-07,0.13032435294776995,0.2,192,1.4426240155473438,0.8662093268271411,0.6262120869102619,0.39701051396660564
38,6,False,413.55143410002347,0.0008011070649188459,1.1843349498732724e-06,0.2498862889398814,0.2,256,2.894903252290406,0.8996502788225648,0.6980157857438523,0.31822088586435043
39,6,False,413.2876381999813,9.458187030027757e-05,1.4594376048376258e-06,0.3604857558798288,0.2,256,2.0115917967444683,0.7969231959423441,0.6088623570855068,0.44071401617259365
40,6,False,304.08393609995255,0.0002177419291200226,3.1648361086691055e-06,0.24961934201116762,0.2,128,0.5301009849388351,0.9345224662526116,0.5469954363286436,0.4577121826352412
41,6,False,303.84769409999717,0.0003970160960753502,4.992324983359867e-06,0.21285200658275577,0.2,128,1.785973150557285,0.9051396682111964,0.649625780717562,0.36298839662564947
42,6,False,414.39504079998005,0.00024849728523684454,7.004177643328527e-07,0.3106409772606751,0.2,256,2.060021811133559,0.864641718154591,0.6031792952044063,0.4192714350138975
43,6,False,297.819098100008,0.0007213616267585031,1.4601945604432824e-05,0.1526841725697331,0.2,96,0.9580609723675816,0.938208459510683,0.5535387033823645,0.45071707739283984
