trial_number,pruned,time_sec,lr,weight_decay,dropout_rate,alpha,dec_ch,loss_w_mask,val_cls_prauc,val_mask_dice_global,distance_to_ideal
30,False,284.83657080004923,0.0007577078863156092,7.274208264938343e-05,0.37445931706613456,0.2,192,2.916637047609174,0.9708327855493947,0.7921312568157511,0.20990507566947209
31,False,233.5022221999825,0.000810169084802329,3.6226665947286684e-05,0.18833466762087572,0.2,128,1.8920031561458754,0.9863638775373934,0.81189953721878,0.18859408244779133
32,False,284.9152725999593,0.0007483406776428289,1.2248682856804874e-05,0.2710183510268095,0.2,192,1.795824130909342,0.9859047987537746,0.8017227869347924,0.1987775840457805
33,False,320.5761346000363,0.0006314112248406881,1.668421790225707e-05,0.30910472229858044,0.2,256,2.525283486697952,0.9877999641631083,0.8189438355658387,0.1814667340148918
34,False,233.57942269998603,0.0006128893090419255,5.491887821601535e-05,0.2534027196582814,0.2,128,2.4894816735902525,0.9877623578307368,0.8088333990311349,0.19155790041617238
35,False,233.6500856000348,0.0006548913275902469,1.0327268550128363e-06,0.21267488579198324,0.2,128,1.8566115867689414,0.9868088712809546,0.8170234773702136,0.18345139331869667
36,False,234.00210799998604,0.00011446095357835746,5.922427891922456e-06,0.10915007498171483,0.2,128,1.805608150137011,0.9849190875349277,0.7984860373451166,0.20207748777548903
37,False,320.4071716000326,0.0004629368376725445,4.4408191026434393e-07,0.28686714274570013,0.2,256,2.0935747537455165,0.9826270062481299,0.8183669520830161,0.1824620097650902
38,False,233.6420611999929,0.00040776739032613303,8.463621602561945e-05,0.25489010449035865,0.2,128,0.6961409533556648,0.991042402606357,0.8135710831472579,0.18664399157206543
39,False,221.31077799998457,5.3801216489325404e-05,7.725831714587862e-05,0.3507940361536618,0.2,96,1.1256072454114883,0.973864248955443,0.7557225046496969,0.24567167565122439
40,False,233.71858069999143,0.0002445677204397863,1.3924761586031799e-05,0.2980592130153194,0.2,128,2.0293018655858805,0.9869790282101075,0.8156495896787733,0.18480968451885257
41,False,221.32476250000764,0.00016814440696911057,5.535960319083611e-07,0.2067918035953785,0.2,96,0.6018220057974253,0.9905374180892142,0.8001235912093498,0.2001002729819863
42,False,233.70030110003427,0.0005926607341274318,1.291140720054992e-05,0.24225214872619757,0.2,128,1.5846291230949325,0.9850739815242742,0.8050370706857499,0.19553344940017547
43,False,285.030802400026,0.00015819838317019752,7.0396374684685645e-06,0.29052809526029316,0.2,192,2.6412246029708055,0.9884071689183139,0.8078288533260466,0.19252050110694865
44,False,320.3540703000035,0.0003355907713861595,3.08179170052056e-07,0.12117062422012896,0.2,256,1.9386854446896975,0.9883374658000882,0.8212136480534094,0.17916633150883648
45,False,320.2174866999849,0.00015354265288709408,8.508728286362322e-06,0.23747586714745503,0.2,256,2.7633766048901593,0.9874649629497647,0.8181898552340441,0.18224175123628675
46,False,284.7821511000511,8.805240704935417e-05,1.6146704696224905e-07,0.130233400413228,0.2,192,1.2974390757344032,0.98520526704551,0.7998492898767717,0.20069676351657298
47,False,285.33380369999213,0.0005748026377593019,1.174399363537815e-07,0.34434054477668075,0.2,192,2.6936800338176323,0.9827302677863082,0.8197867292898596,0.18103885381535909
48,False,320.3330579000176,0.0004184894123168781,2.573017803008084e-05,0.18461037177139195,0.2,256,1.5315441922785662,0.9889303830751116,0.8196613487620892,0.18067807157807672
49,False,221.2645838999888,0.00014653928859375163,2.134218510097732e-05,0.20224106207590536,0.2,96,2.386357185211706,0.9845163199167295,0.7903214012550824,0.2102495163384525
